,diff,y,x,band,spatial_ref,elevation_rema,geometry,index_icesat2,latitude,longitude,velocity,date,elevation_icesat2,dist
100177,1.5758590698242188,-1854342.3714285714,1843880.6992782678,1,0,24.144043,POINT (1843880.6992782678 -1854342.3714285714),1047403,-66.2637339062453,135.16184847481975,,2022-01-09,25.71990203857422,12.669501133041209
100178,1.130392074584961,-1854342.3714285714,1843910.1716118685,1,0,24.58951,POINT (1843910.1716118685 -1854342.3714285714),1047403,-66.2637339062453,135.16184847481975,,2022-01-09,25.71990203857422,29.628815964828092
100179,1.4945564270019531,-1854342.3714285714,1843939.6439454693,1,0,24.311888,POINT (1843939.6439454693 -1854342.3714285714),1047405,-66.26319915024656,135.1617546221864,,2022-01-09,25.80644416809082,29.504510168692057
101425,1.8489131927490234,-1854372.9102040816,1843910.1716118685,1,0,23.957531,POINT (1843910.1716118685 -1854372.9102040816),1047405,-66.26319915024656,135.1617546221864,,2022-01-09,25.80644416809082,19.078420577007897
101426,1.6427268981933594,-1854372.9102040816,1843939.6439454693,1,0,24.163717,POINT (1843939.6439454693 -1854372.9102040816),1047405,-66.26319915024656,135.1617546221864,,2022-01-09,25.80644416809082,11.053782616939339
102674,3.1369075775146484,-1854403.4489795917,1843969.1162790698,1,0,22.853148,POINT (1843969.1162790698 -1854403.4489795917),1047407,-66.26266713018263,135.1615950074572,,2022-01-09,25.990055084228516,8.559504593062783
102675,1.648458480834961,-1854403.4489795917,1843998.5886126705,1,0,24.341597,POINT (1843998.5886126705 -1854403.4489795917),1047407,-66.26266713018263,135.1615950074572,,2022-01-09,25.990055084228516,22.292572410819158
103921,2.641336441040039,-1854433.987755102,1843969.1162790698,1,0,23.348719,POINT (1843969.1162790698 -1854433.987755102),1047407,-66.26266713018263,135.1615950074572,,2022-01-09,25.990055084228516,27.556605859386167
103922,2.9980030059814453,-1854433.987755102,1843998.5886126705,1,0,23.162048,POINT (1843998.5886126705 -1854433.987755102),1047409,-66.2621340193373,135.16144432898182,,2022-01-09,26.160051345825195,27.984674715528026
103923,5.836833953857422,-1854433.987755102,1844028.060946271,1,0,20.323217,POINT (1844028.060946271 -1854433.987755102),1047409,-66.2621340193373,135.16144432898182,,2022-01-09,26.160051345825195,12.123877885441285
105170,11.349611282348633,-1854464.5265306123,1844028.060946271,1,0,14.81044,POINT (1844028.060946271 -1854464.5265306123),1047409,-66.2621340193373,135.16144432898182,,2022-01-09,26.160051345825195,19.47770469141129
105171,14.863019943237305,-1854464.5265306123,1844057.5332798718,1,0,11.496536,POINT (1844057.5332798718 -1854464.5265306123),1047411,-66.26160108576349,135.16130406196598,,2022-01-09,26.359556198120117,23.589461186640573
105172,19.203598022460938,-1854464.5265306123,1844087.0056134723,1,0,7.155958,POINT (1844087.0056134723 -1854464.5265306123),1047411,-66.26160108576349,135.16130406196598,,2022-01-09,26.359556198120117,24.86723737897006
106418,16.662551879882812,-1854495.0653061224,1844057.5332798718,1,0,9.697004,POINT (1844057.5332798718 -1854495.0653061224),1047411,-66.26160108576349,135.16130406196598,,2022-01-09,26.359556198120117,17.763974833822008
106419,22.54505753517151,-1854495.0653061224,1844087.0056134723,1,0,3.8144987,POINT (1844087.0056134723 -1854495.0653061224),1047411,-66.26160108576349,135.16130406196598,,2022-01-09,26.359556198120117,19.42873175692858
106420,32.63025951385498,-1854495.0653061224,1844116.477947073,1,0,-6.043166,POINT (1844116.477947073 -1854495.0653061224),1047413,-66.26107251170814,135.16109860916427,,2022-01-09,26.587093353271484,24.77802952398417
107667,31.865054607391357,-1854525.6040816326,1844116.477947073,1,0,-5.2779613,POINT (1844116.477947073 -1854525.6040816326),1047413,-66.26107251170814,135.16109860916427,,2022-01-09,26.587093353271484,7.020605901768963
107668,39.70828819274902,-1854525.6040816326,1844145.9502806736,1,0,-13.121195,POINT (1844145.9502806736 -1854525.6040816326),1047413,-66.26107251170814,135.16109860916427,,2022-01-09,26.587093353271484,26.559650057510453
108915,36.52816200256348,-1854556.1428571427,1844145.9502806736,1,0,-9.736969,POINT (1844145.9502806736 -1854556.1428571427),1047415,-66.260538382924,135.16100509841655,,2022-01-09,26.79119300842285,20.09416785748227
108916,36.59222221374512,-1854556.1428571427,1844175.4226142743,1,0,-9.801029,POINT (1844175.4226142743 -1854556.1428571427),1047415,-66.260538382924,135.16100509841655,,2022-01-09,26.79119300842285,10.211808050227987
110163,32.11110019683838,-1854586.681632653,1844175.4226142743,1,0,-5.319907,POINT (1844175.4226142743 -1854586.681632653),1047415,-66.260538382924,135.16100509841655,,2022-01-09,26.79119300842285,28.875524886411476
110164,32.66660690307617,-1854586.681632653,1844204.894947875,1,0,-5.62895,POINT (1844204.894947875 -1854586.681632653),1047417,-66.2600061164273,135.16085504242676,,2022-01-09,27.037656784057617,13.508542482363014
110165,35.03224849700928,-1854586.681632653,1844234.3672814756,1,0,-7.9945917,POINT (1844234.3672814756 -1854586.681632653),1047417,-66.2600061164273,135.16085504242676,,2022-01-09,27.037656784057617,23.779610990543013
111411,27.514942169189453,-1854617.2204081633,1844204.894947875,1,0,-0.4772854,POINT (1844204.894947875 -1854617.2204081633),1047417,-66.2600061164273,135.16085504242676,,2022-01-09,27.037656784057617,21.47655391403997
111412,30.300462007522583,-1854617.2204081633,1844234.3672814756,1,0,-3.2628052,POINT (1844234.3672814756 -1854617.2204081633),1047417,-66.2600061164273,135.16085504242676,,2022-01-09,27.037656784057617,29.055662905643942
111413,32.768805503845215,-1854617.2204081633,1844263.8396150763,1,0,-5.5940504,POINT (1844263.8396150763 -1854617.2204081633),1047418,-66.25947317117236,135.16070556455765,,2022-01-09,27.174755096435547,18.45642801938589
